species_id,year,endangered_status
134456,1990,Rare
36340,2016,Least Concern
36340,2012,Least Concern
36340,2009,Least Concern
36340,2008,Least Concern
36340,2004,Least Concern
36340,2000,Lower Risk/least concern
36340,1994,Lower Risk/least concern
36340,1988,Near Threatened
95513,2008,Critically Endangered
95513,1996,Critically Endangered
95513,1994,Endangered
95513,1990,Endangered
95513,1988,Endangered
95513,1986,Endangered
95513,1982,Endangered
113757,2021,Endangered
113757,2016,Endangered
113757,2015,Endangered
113757,2013,Endangered
113757,2012,Endangered
113757,2010,Vulnerable
113757,2008,Endangered
113757,2004,Endangered
113757,2000,Lower Risk/least concern
113757,1994,Lower Risk/least concern
113757,1988,Near Threatened
133093,2020,Near Threatened
133093,2016,Near Threatened
133093,2012,Near Threatened
133093,2008,Near Threatened
133093,2004,Near Threatened
133093,2000,Lower Risk/least concern
133093,1994,Lower Risk/least concern
133093,1988,Lower Risk/least concern
34026,2016,Least Concern
34026,2012,Least Concern
34026,2009,Least Concern
34026,2008,Least Concern
34026,2004,Least Concern
34026,2000,Lower Risk/least concern
34026,1994,Lower Risk/near threatened
34026,1988,Lower Risk/least concern
118304,2020,Vulnerable
118304,2016,Vulnerable
118304,2000,Lower Risk/least concern
121106,2018,Vulnerable
121106,2016,Vulnerable
121106,2013,Vulnerable
121106,2012,Vulnerable
121106,2008,Vulnerable
121106,2004,Vulnerable
121106,2000,Vulnerable
121106,1996,Vulnerable
121106,1994,Vulnerable
121106,1988,Threatened
135206,2021,Near Threatened
135206,2017,Near Threatened
135206,2016,Near Threatened
135206,2014,Near Threatened
135206,2013,Least Concern
135206,2012,Least Concern
135206,2009,Least Concern
135206,2008,Least Concern
135206,2004,Least Concern
135206,2000,Lower Risk/least concern
135206,1994,Lower Risk/least concern
135206,1988,Near Threatened
76178,2021,Critically Endangered
76178,2006,Vulnerable
76178,1996,Data Deficient
115393,2020,Endangered
115393,2014,Endangered
115393,2008,Near Threatened
115393,2000,Vulnerable
115393,1996,Vulnerable
115393,1994,Vulnerable
115393,1990,Vulnerable
115393,1988,Insufficiently Known
115393,1986,Insufficiently Known
25664,2015,Least Concern
25664,2008,Near Threatened
25664,2002,Near Threatened
25664,1996,Lower Risk/least concern
67898,2020,Least Concern
101534,2020,Endangered
101534,2008,Endangered
101534,2000,Vulnerable
101534,1996,Vulnerable
101534,1994,Vulnerable
101534,1990,Vulnerable
101534,1988,Vulnerable
101534,1986,Vulnerable
35406,2016,Least Concern
35406,2012,Least Concern
35406,2009,Least Concern
35406,2008,Least Concern
35406,2004,Least Concern
35406,2000,Lower Risk/least concern
35406,1994,Lower Risk/least concern
35406,1988,Lower Risk/least concern
23899,2015,Least Concern
23899,2008,Least Concern
23899,1996,Lower Risk/least concern
134458,2017,Least Concern
134458,2010,Least Concern
134459,2017,Least Concern
100689,2014,Vulnerable
100689,2010,Vulnerable
100689,2008,Near Threatened
100689,2006,Near Threatened
100689,1996,Vulnerable
100689,1994,Vulnerable
100689,1990,Vulnerable
100689,1988,Vulnerable
100689,1986,Vulnerable
100689,1982,Vulnerable
151527,2019,Endangered
20057,2015,Least Concern
20057,2008,Least Concern
20057,2006,Least Concern
20057,2003,Least Concern
20057,1996,Lower Risk/least concern
6340,2019,Least Concern
6340,1996,Lower Risk/least concern
112174,2016,Endangered
112174,2008,Endangered
112174,2007,Endangered
112174,2000,Endangered
112174,1996,Endangered
112174,1994,Vulnerable
112174,1990,Vulnerable
112174,1988,Vulnerable
112174,1986,Vulnerable
112174,1965,"""Status inadequately known-survey required or data sought"""
49813,2018,Least Concern
49813,2016,Least Concern
49813,2012,Least Concern
49813,2009,Least Concern
49813,2008,Least Concern
